,Absences,GPA,Activity,age,education,occupation,sex,income
63,4.0,3.3759940088028397,Extracurricular,42.0,Doctorate,Prof-specialty,Male,>50K
64,7.0,2.670559614819829,Extracurricular,29.0,Some-college,Tech-support,Male,<=50K
65,11.0,2.369648013449619,Extracurricular,36.0,HS-grad,Craft-repair,Male,<=50K
66,15.0,2.5374768278143587,Extracurricular,28.0,Some-college,Adm-clerical,Female,<=50K
67,14.0,2.2598041504961186,Extracurricular,53.0,HS-grad,Adm-clerical,Female,>50K
68,25.0,0.818786616073051,Extracurricular,49.0,Some-college,Exec-managerial,Male,>50K
69,20.0,1.543837471085622,Extracurricular,,,,,
70,27.0,0.1969011048236224,Extracurricular,19.0,Some-college,Prof-specialty,Male,<=50K
71,25.0,1.1048937876999445,Extracurricular,31.0,Bachelors,Sales,Female,<=50K
72,2.0,2.553439811443938,Extracurricular,29.0,Bachelors,Sales,Male,>50K
73,1.0,3.2742334588098787,Extracurricular,23.0,Some-college,Machine-op-inspct,Male,<=50K
74,20.0,1.722115750240589,Extracurricular,79.0,Some-college,Prof-specialty,Male,<=50K
75,8.0,2.3380463575903736,Extracurricular,27.0,HS-grad,Other-service,Male,<=50K
76,9.0,3.273998748434336,Extracurricular,40.0,Assoc-acdm,Adm-clerical,Male,<=50K
77,26.0,0.8963978990233954,Extracurricular,,,,,
78,8.0,2.6743510954520984,Extracurricular,18.0,11th,Other-service,Female,<=50K
79,23.0,1.2178731513333656,Extracurricular,31.0,7th-8th,Farming-fishing,Male,<=50K
80,9.0,2.135266354890094,Extracurricular,18.0,HS-grad,Sales,Male,<=50K
81,11.0,2.751145787611705,Extracurricular,52.0,Bachelors,Other-service,Male,<=50K
82,26.0,0.8976341586164038,Extracurricular,46.0,HS-grad,Other-service,Female,<=50K
83,0.0,3.117354434785501,Extracurricular,59.0,HS-grad,Sales,Male,<=50K
84,27.0,1.2875951312580094,Extracurricular,44.0,HS-grad,Craft-repair,Female,>50K
85,28.0,0.5813557994949716,Extracurricular,53.0,HS-grad,Sales,Female,<=50K
86,12.0,2.009298479722319,Extracurricular,49.0,HS-grad,Protective-serv,Male,>50K
87,18.0,1.146086034129592,Extracurricular,33.0,Masters,Prof-specialty,Male,<=50K
88,26.0,0.94573087329995,Extracurricular,30.0,9th,Sales,Male,<=50K
89,25.0,0.5672500284902902,Extracurricular,43.0,Doctorate,Prof-specialty,Female,>50K
90,20.0,1.6560601255004677,Extracurricular,57.0,Assoc-voc,Prof-specialty,Male,<=50K
91,1.0,3.25829468502287,Extracurricular,37.0,Some-college,Craft-repair,Female,<=50K
92,29.0,0.1259330746249498,Extracurricular,28.0,Some-college,Machine-op-inspct,Female,<=50K
93,26.0,1.2870134123902284,Extracurricular,30.0,HS-grad,Sales,Female,<=50K
94,6.0,2.591426703229313,Extracurricular,34.0,Bachelors,Protective-serv,Male,>50K
95,22.0,1.710466837709535,Extracurricular,29.0,Some-college,Handlers-cleaners,Male,<=50K
96,24.0,0.7683163859836675,Extracurricular,48.0,Doctorate,Prof-specialty,Male,>50K
97,16.0,1.5970165723817666,Extracurricular,37.0,Some-college,Sales,Male,>50K
98,13.0,1.6413414427787147,Extracurricular,48.0,Assoc-acdm,Exec-managerial,Female,<=50K
99,14.0,1.8981464002812247,Extracurricular,32.0,HS-grad,Other-service,Male,<=50K
100,20.0,1.0444999950877136,Extracurricular,76.0,Masters,Exec-managerial,Male,>50K
101,7.0,2.127408865912826,Extracurricular,44.0,Bachelors,Exec-managerial,Male,>50K
102,3.0,2.913887649138132,Extracurricular,47.0,Masters,Prof-specialty,Female,<=50K
103,10.0,2.403284547023526,Extracurricular,20.0,Some-college,Tech-support,Female,<=50K
104,14.0,1.5309511463109082,Extracurricular,29.0,HS-grad,Craft-repair,Male,<=50K
105,6.0,2.3020320443414053,Extracurricular,32.0,HS-grad,Craft-repair,Male,>50K
106,20.0,1.265677909199434,Extracurricular,,,,,
107,19.0,1.479602227739032,Extracurricular,30.0,11th,Handlers-cleaners,Male,<=50K
108,9.0,2.592786686317039,Extracurricular,31.0,HS-grad,Adm-clerical,Female,<=50K
109,23.0,0.9123305070955544,Extracurricular,42.0,HS-grad,Handlers-cleaners,Male,<=50K
110,16.0,1.6336793710032238,Extracurricular,24.0,Bachelors,Sales,Male,<=50K
111,7.0,3.270262309404739,Extracurricular,38.0,Prof-school,Prof-specialty,Male,>50K
112,4.0,2.5537231512721896,Extracurricular,56.0,HS-grad,Other-service,Male,>50K
113,18.0,1.849760707133483,Extracurricular,28.0,Some-college,Sales,Female,<=50K
114,28.0,1.11384878785912,Extracurricular,36.0,HS-grad,Machine-op-inspct,Female,<=50K
115,9.0,1.6492502516618042,Extracurricular,53.0,9th,Handlers-cleaners,Male,<=50K
116,25.0,0.322286081625407,Extracurricular,56.0,Some-college,Sales,Male,<=50K
117,23.0,0.6307569438666114,Extracurricular,49.0,Assoc-voc,Craft-repair,Male,>50K
118,3.0,3.191046118219917,Extracurricular,55.0,Some-college,Sales,Male,<=50K
119,2.0,2.7238280604010647,Extracurricular,22.0,HS-grad,Craft-repair,Male,<=50K
120,11.0,2.627693905554347,Extracurricular,21.0,Some-college,Other-service,Female,<=50K
121,29.0,0.9124156208354256,Extracurricular,40.0,Bachelors,Exec-managerial,Male,<=50K
122,10.0,2.3321590405051187,Extracurricular,30.0,Bachelors,Exec-managerial,Male,<=50K
123,4.0,3.387938347765993,Extracurricular,29.0,Bachelors,Prof-specialty,Male,>50K
124,3.0,2.9858098143768106,Extracurricular,19.0,Some-college,Other-service,Male,<=50K
125,20.0,1.4003632540944204,Extracurricular,47.0,Bachelors,Exec-managerial,Female,>50K
126,15.0,1.7555440233413917,Extracurricular,20.0,Some-college,Adm-clerical,Female,<=50K
127,9.0,2.900096239205548,Extracurricular,31.0,Assoc-acdm,Adm-clerical,Male,>50K
128,6.0,3.1071355935726115,Extracurricular,,,,,
129,2.0,3.375252255246081,Extracurricular,39.0,Some-college,Craft-repair,Male,<=50K
130,18.0,2.2166038146961022,Extracurricular,28.0,Assoc-acdm,Sales,Female,<=50K
131,9.0,2.0046273170074884,Extracurricular,24.0,HS-grad,Other-service,Female,<=50K
132,16.0,1.689528158418944,Extracurricular,38.0,HS-grad,Craft-repair,Male,<=50K
133,15.0,1.7579788035014272,Extracurricular,37.0,Bachelors,Sales,Male,<=50K
134,8.0,2.34926492736688,Extracurricular,46.0,Assoc-acdm,Tech-support,Female,<=50K
135,22.0,1.6230778220088506,Extracurricular,38.0,Masters,Prof-specialty,Male,>50K
136,8.0,2.200896321528595,Extracurricular,43.0,HS-grad,Craft-repair,Male,<=50K
137,1.0,2.9965033042477023,Extracurricular,27.0,Assoc-voc,Adm-clerical,Female,<=50K
138,10.0,2.8304044557095467,Extracurricular,20.0,Some-college,Sales,Male,<=50K
139,7.0,2.5251155338354896,Extracurricular,49.0,Some-college,Craft-repair,Male,>50K
140,22.0,1.0429816505882752,Extracurricular,61.0,HS-grad,Craft-repair,Male,<=50K
141,5.0,2.661096903670216,Extracurricular,27.0,Some-college,Sales,Female,<=50K
142,19.0,1.7994091491725042,Extracurricular,19.0,Some-college,Other-service,Male,<=50K
143,16.0,1.84886644019124,Extracurricular,45.0,Assoc-voc,Prof-specialty,Female,>50K
144,1.0,2.8560385143532114,Extracurricular,70.0,Some-college,Tech-support,Male,<=50K
145,24.0,1.206150230255099,Extracurricular,31.0,HS-grad,Transport-moving,Female,<=50K
146,20.0,0.8959029903990774,Extracurricular,22.0,Some-college,Other-service,Male,<=50K
147,17.0,1.8687585897071977,Extracurricular,36.0,HS-grad,Other-service,Female,<=50K
148,7.0,3.0356935955108426,Extracurricular,64.0,11th,Craft-repair,Male,<=50K
149,6.0,3.038116129209991,Extracurricular,,,,,
150,3.0,2.934586305266487,Extracurricular,47.0,Some-college,Adm-clerical,Female,<=50K
151,16.0,2.0469388171096283,Extracurricular,34.0,HS-grad,Adm-clerical,Female,<=50K
152,4.0,3.065473133634235,Extracurricular,33.0,Bachelors,Exec-managerial,Female,<=50K
153,19.0,1.879575445166732,Extracurricular,21.0,HS-grad,Craft-repair,Male,<=50K
154,27.0,0.7641866973896485,Extracurricular,,,,,
155,17.0,1.503416679305313,Extracurricular,48.0,HS-grad,Craft-repair,Male,<=50K
156,19.0,1.5258378621561266,Extracurricular,23.0,Bachelors,Handlers-cleaners,Male,<=50K
157,8.0,2.2708411075244164,Extracurricular,71.0,Some-college,Sales,Male,<=50K
158,24.0,1.0504696915596752,Extracurricular,29.0,HS-grad,Craft-repair,Male,<=50K
159,12.0,2.025416982399455,Extracurricular,42.0,Bachelors,Other-service,Male,<=50K
160,12.0,2.017218038843316,Extracurricular,,,,,
161,8.0,2.3976825794915584,Extracurricular,25.0,HS-grad,Other-service,Female,<=50K
162,29.0,0.2878673233291232,Extracurricular,44.0,Masters,Exec-managerial,Female,<=50K
163,5.0,2.905242112307261,Extracurricular,28.0,HS-grad,Exec-managerial,Female,<=50K
164,0.0,3.4184098665461984,Extracurricular,45.0,Masters,Sales,Male,>50K
165,4.0,2.679085718058188,Extracurricular,36.0,Some-college,Other-service,Female,<=50K
166,3.0,2.781287883700032,Extracurricular,39.0,Assoc-acdm,Exec-managerial,Male,<=50K
167,13.0,2.3327839636333105,Extracurricular,46.0,Masters,Protective-serv,Male,<=50K
168,8.0,3.0677183698465544,Extracurricular,18.0,11th,Handlers-cleaners,Male,<=50K
169,3.0,3.2898231421759827,Extracurricular,66.0,Assoc-voc,Prof-specialty,Female,<=50K
170,17.0,2.1757392926719743,Extracurricular,27.0,HS-grad,Other-service,Male,<=50K
171,24.0,1.4772887703973712,Extracurricular,28.0,HS-grad,Protective-serv,Male,<=50K
172,2.0,3.5877355870777485,Extracurricular,51.0,Some-college,Sales,Male,>50K
173,22.0,1.30141801379926,Extracurricular,27.0,Bachelors,Craft-repair,Male,<=50K
174,12.0,1.9893957592572007,Extracurricular,28.0,Bachelors,Prof-specialty,Male,>50K
175,17.0,1.5135167558797396,Extracurricular,27.0,HS-grad,Sales,Female,<=50K
176,23.0,1.0384883524708666,Extracurricular,21.0,HS-grad,Craft-repair,Male,<=50K
177,13.0,2.255019102931137,Extracurricular,34.0,HS-grad,Handlers-cleaners,Male,<=50K
178,9.0,2.6375942281323583,Extracurricular,18.0,HS-grad,Other-service,Male,<=50K
179,4.0,3.0571217282122816,Extracurricular,33.0,Bachelors,Prof-specialty,Male,<=50K
180,22.0,1.3619328272119078,Extracurricular,44.0,Some-college,Exec-managerial,Male,>50K
181,6.0,3.2389317177358112,Extracurricular,43.0,Some-college,Adm-clerical,Female,<=50K
182,11.0,2.573034385056746,Extracurricular,30.0,Some-college,Craft-repair,Male,<=50K
183,25.0,1.04646340029671,Extracurricular,40.0,7th-8th,Machine-op-inspct,Male,>50K
184,15.0,2.222002853095735,Extracurricular,37.0,Some-college,Adm-clerical,Male,>50K
185,18.0,1.6759194307143808,Extracurricular,34.0,HS-grad,Adm-clerical,Male,<=50K
186,28.0,0.2143195035843396,Extracurricular,41.0,Bachelors,Exec-managerial,Female,<=50K
187,19.0,1.5567655569083212,Extracurricular,,,,,
188,18.0,2.154199353389932,Extracurricular,31.0,Masters,Prof-specialty,Female,<=50K
189,11.0,2.162688107920216,Extracurricular,58.0,Doctorate,Prof-specialty,Male,>50K
190,15.0,2.1901466017791726,Extracurricular,38.0,Some-college,Machine-op-inspct,Female,<=50K
191,14.0,2.118500601923897,Extracurricular,24.0,Some-college,Machine-op-inspct,Male,<=50K
192,6.0,2.615347947639846,Extracurricular,41.0,Bachelors,Craft-repair,Male,<=50K
193,0.0,3.9470929642201775,Extracurricular,47.0,Some-college,Tech-support,Male,<=50K
194,9.0,2.813786291054958,Extracurricular,41.0,Bachelors,Tech-support,Male,<=50K
195,3.0,3.666290826527483,Extracurricular,23.0,5th-6th,Transport-moving,Male,<=50K
196,0.0,3.149644743525513,Extracurricular,36.0,Some-college,Craft-repair,Male,<=50K
197,22.0,1.1613543513353255,Extracurricular,40.0,Masters,Exec-managerial,Female,>50K
198,15.0,2.6441973683601545,Extracurricular,35.0,Masters,Prof-specialty,Male,>50K
199,13.0,2.2675844008883907,Extracurricular,24.0,HS-grad,Sales,Male,<=50K
200,0.0,3.8649768612963977,Extracurricular,26.0,Masters,Prof-specialty,Female,<=50K
201,20.0,0.684651926072042,Extracurricular,,,,,
202,22.0,0.8802328124843197,Extracurricular,51.0,Bachelors,Exec-managerial,Male,>50K
203,17.0,1.3415984768250016,Extracurricular,42.0,Some-college,Prof-specialty,Female,<=50K
204,27.0,0.6592029163279249,Extracurricular,37.0,HS-grad,Adm-clerical,Female,<=50K
205,20.0,0.8177142023856205,Extracurricular,18.0,11th,Sales,Female,<=50K
206,6.0,3.219333348074609,Extracurricular,36.0,Bachelors,Other-service,Male,>50K
207,5.0,2.254547586191716,Extracurricular,35.0,HS-grad,Craft-repair,Male,<=50K
208,20.0,1.8913004299388907,Extracurricular,58.0,HS-grad,Sales,Female,>50K
209,7.0,2.4119864614713284,Extracurricular,17.0,11th,Sales,Female,<=50K
210,4.0,2.5761746968185832,Extracurricular,44.0,HS-grad,Transport-moving,Male,<=50K
211,0.0,3.646516388949796,Extracurricular,37.0,HS-grad,Craft-repair,Male,>50K
212,8.0,2.6054252316173008,Extracurricular,35.0,Some-college,Sales,Female,<=50K
213,5.0,3.3669295153821057,Extracurricular,60.0,HS-grad,Craft-repair,Male,<=50K
214,8.0,2.718465435794503,Extracurricular,54.0,7th-8th,Machine-op-inspct,Male,>50K
215,4.0,3.2448822032661777,Extracurricular,37.0,Bachelors,Exec-managerial,Male,>50K
216,13.0,2.8656747490202017,Extracurricular,50.0,Assoc-acdm,Sales,Female,<=50K
217,12.0,2.600264186907329,Extracurricular,38.0,Bachelors,Sales,Male,<=50K
218,27.0,0.782809234051424,Extracurricular,45.0,Bachelors,Prof-specialty,Male,<=50K
219,25.0,0.7664048694920337,Extracurricular,25.0,10th,Craft-repair,Male,<=50K
220,17.0,1.2836220775478306,Extracurricular,31.0,Some-college,Handlers-cleaners,Male,<=50K
221,24.0,0.6431459327503606,Extracurricular,,,,,
222,27.0,1.184519764401664,Extracurricular,90.0,HS-grad,Other-service,Male,<=50K
223,25.0,1.2993555178087297,Extracurricular,54.0,HS-grad,Adm-clerical,Male,<=50K
224,7.0,2.635208129638253,Extracurricular,53.0,Preschool,Machine-op-inspct,Female,<=50K
225,21.0,1.1466960797952552,Extracurricular,18.0,HS-grad,Sales,Female,<=50K
226,7.0,2.446157080635824,Extracurricular,,,,,
227,18.0,1.9529530122549463,Extracurricular,66.0,HS-grad,Farming-fishing,Male,<=50K
228,15.0,2.293087191388992,Extracurricular,75.0,Assoc-voc,Adm-clerical,Female,<=50K
229,15.0,2.4576510224957078,Extracurricular,65.0,HS-grad,Adm-clerical,Female,<=50K
230,28.0,0.3106695325979863,Extracurricular,35.0,11th,Transport-moving,Male,<=50K
231,11.0,2.7718106588704914,Extracurricular,41.0,HS-grad,Sales,Female,<=50K
232,13.0,1.5826829916643974,Extracurricular,25.0,Some-college,Adm-clerical,Male,<=50K
233,23.0,1.1055870981431069,Extracurricular,33.0,Some-college,Craft-repair,Female,<=50K
234,26.0,0.9918836980476614,Extracurricular,28.0,Prof-school,Prof-specialty,Male,>50K
235,15.0,2.230253521333785,Extracurricular,59.0,HS-grad,Other-service,Male,<=50K
236,19.0,1.3835280778946648,Extracurricular,40.0,Some-college,Adm-clerical,Female,<=50K
237,15.0,2.1314052629810774,Extracurricular,41.0,Bachelors,Exec-managerial,Male,>50K
238,12.0,1.86827692299816,Extracurricular,38.0,Masters,Exec-managerial,Male,>50K
239,25.0,1.2474819436382791,Extracurricular,23.0,HS-grad,Transport-moving,Male,<=50K
240,8.0,2.7051956947945466,Extracurricular,40.0,Bachelors,Prof-specialty,Male,>50K
241,25.0,0.8979380920800135,Extracurricular,41.0,HS-grad,Other-service,Female,<=50K
242,27.0,1.3917317913625924,Extracurricular,24.0,Assoc-acdm,Protective-serv,Male,<=50K
243,28.0,0.0,Extracurricular,,,,,
244,18.0,1.6304001316060543,Extracurricular,38.0,Some-college,Craft-repair,Male,<=50K
245,20.0,1.279370611476852,Extracurricular,56.0,HS-grad,Adm-clerical,Male,<=50K
246,2.0,2.6823160526270176,Extracurricular,58.0,HS-grad,Adm-clerical,Male,>50K
247,24.0,1.3962784383778892,Extracurricular,32.0,HS-grad,Other-service,Female,<=50K
248,21.0,1.6094867987939343,Extracurricular,40.0,Assoc-acdm,Tech-support,Male,>50K
249,19.0,1.187367524649196,Extracurricular,45.0,HS-grad,Adm-clerical,Male,<=50K
250,15.0,2.0197970227132727,Extracurricular,41.0,Prof-school,Prof-specialty,Female,>50K
251,16.0,2.423800751639832,Extracurricular,42.0,Bachelors,Adm-clerical,Female,<=50K
252,15.0,1.7419681672894356,Extracurricular,59.0,10th,Other-service,Female,<=50K
253,18.0,1.5420637396404375,Extracurricular,19.0,Some-college,Adm-clerical,Male,<=50K
254,24.0,0.4999877783931601,Extracurricular,58.0,Some-college,Transport-moving,Male,<=50K
255,13.0,2.300205239575968,Extracurricular,42.0,HS-grad,Farming-fishing,Male,>50K
256,11.0,2.13406203808262,Extracurricular,20.0,HS-grad,Other-service,Female,<=50K
257,16.0,1.2997943203369946,Extracurricular,32.0,HS-grad,Other-service,Female,<=50K
258,27.0,0.7478339441237737,Extracurricular,45.0,Assoc-voc,Exec-managerial,Female,<=50K
259,26.0,0.5329232037789974,Extracurricular,50.0,7th-8th,Craft-repair,Male,<=50K
260,17.0,1.9913793639901416,Extracurricular,36.0,Bachelors,Prof-specialty,Female,<=50K
261,15.0,1.8999595995373024,Extracurricular,45.0,HS-grad,Sales,Male,<=50K
262,12.0,2.6148839418291825,Extracurricular,17.0,11th,Other-service,Male,<=50K
263,20.0,1.8102707442887624,Extracurricular,59.0,Some-college,Sales,Male,<=50K
264,16.0,1.581931480635446,Extracurricular,26.0,11th,Craft-repair,Male,<=50K
265,0.0,3.363670491095614,Extracurricular,37.0,Some-college,Exec-managerial,Male,>50K
266,28.0,0.4812984804652508,Extracurricular,,,,,
267,24.0,0.1999273794512188,Extracurricular,64.0,HS-grad,Exec-managerial,Male,>50K
268,26.0,0.8825524540001173,Extracurricular,33.0,Bachelors,Prof-specialty,Female,<=50K
269,27.0,0.6817036435058786,Extracurricular,33.0,HS-grad,Craft-repair,Female,>50K
270,1.0,2.898261817162794,Extracurricular,61.0,HS-grad,Exec-managerial,Male,>50K
271,0.0,3.560791672128213,Extracurricular,17.0,9th,Other-service,Male,<=50K
272,11.0,1.8104094800411437,Extracurricular,50.0,Masters,Farming-fishing,Male,<=50K
273,6.0,3.625921730346796,Extracurricular,27.0,Masters,Prof-specialty,Male,<=50K
274,22.0,1.331958948764275,Extracurricular,30.0,HS-grad,Prof-specialty,Female,<=50K
275,27.0,0.7795517215186132,Extracurricular,43.0,HS-grad,Handlers-cleaners,Male,<=50K
276,22.0,0.8813584466312141,Extracurricular,44.0,Some-college,Craft-repair,Male,>50K
277,29.0,1.0288655959633797,Extracurricular,35.0,Some-college,Exec-managerial,Female,<=50K
278,15.0,1.6052743861754348,Extracurricular,25.0,Some-college,Tech-support,Female,<=50K
279,12.0,2.709889487418108,Extracurricular,24.0,Some-college,Machine-op-inspct,Female,>50K
280,11.0,2.1219640588635724,Extracurricular,22.0,Bachelors,Prof-specialty,Female,<=50K
281,23.0,1.123926327741214,Extracurricular,42.0,Some-college,Craft-repair,Male,>50K
282,19.0,1.8228292080685773,Extracurricular,34.0,Assoc-acdm,Sales,Female,<=50K
283,12.0,2.231182931946249,Extracurricular,60.0,Bachelors,Prof-specialty,Female,<=50K
284,23.0,1.0578761267920678,Extracurricular,21.0,HS-grad,Handlers-cleaners,Male,<=50K
285,3.0,3.5169407207158963,Extracurricular,57.0,Masters,Sales,Male,>50K
286,1.0,3.4861413290978023,Extracurricular,41.0,Prof-school,Prof-specialty,Male,>50K
287,27.0,0.586837405483887,Extracurricular,50.0,Some-college,Other-service,Male,<=50K
288,14.0,2.66889332908893,Extracurricular,25.0,Bachelors,Exec-managerial,Female,<=50K
289,18.0,0.8730911973563495,Extracurricular,50.0,7th-8th,Craft-repair,Male,<=50K
290,25.0,0.318850908518507,Extracurricular,36.0,Bachelors,Prof-specialty,Male,<=50K
291,23.0,1.0866966802818123,Extracurricular,31.0,HS-grad,Prof-specialty,Female,<=50K
292,10.0,2.824604892517854,Extracurricular,29.0,Bachelors,Protective-serv,Male,<=50K
293,28.0,0.5684680837933294,Extracurricular,21.0,Some-college,Sales,Male,<=50K
294,19.0,1.6831172628416484,Extracurricular,27.0,Bachelors,Tech-support,Female,<=50K
295,18.0,1.7209071500753406,Extracurricular,65.0,HS-grad,Transport-moving,Male,<=50K
296,16.0,1.878547509948441,Extracurricular,37.0,Bachelors,Sales,Female,<=50K
297,26.0,0.8632708590471806,Extracurricular,,,,,
298,9.0,2.7721632696203784,Extracurricular,24.0,HS-grad,Craft-repair,Male,<=50K
299,20.0,1.834226997089304,Extracurricular,38.0,HS-grad,Sales,Male,<=50K
300,1.0,3.4063390822727126,Extracurricular,48.0,Bachelors,Adm-clerical,Male,>50K
301,28.0,0.8670343739276987,Extracurricular,21.0,Some-college,Other-service,Female,<=50K
302,26.0,0.8447920018716684,Extracurricular,31.0,HS-grad,Transport-moving,Male,>50K
303,8.0,2.7423611231016096,Extracurricular,55.0,HS-grad,Sales,Male,>50K
304,19.0,1.5913479919456928,Extracurricular,24.0,Some-college,Adm-clerical,Female,<=50K
305,20.0,0.8227735669667381,Extracurricular,43.0,HS-grad,Adm-clerical,Female,<=50K
306,22.0,0.7626843112270509,Extracurricular,26.0,Assoc-acdm,Tech-support,Male,<=50K
307,23.0,1.1708122846030742,Extracurricular,46.0,Assoc-acdm,Prof-specialty,Female,<=50K
308,21.0,1.8865425000782805,Extracurricular,35.0,Assoc-acdm,Adm-clerical,Male,>50K
309,13.0,2.797267479731933,Extracurricular,41.0,Some-college,Farming-fishing,Male,>50K
